Model Name,Parameter Size (Billions),Parameter Size (Formatted),Context Size,num_predict
glm4:9b,9.0,9.0B,131072,32768
marco-o1:7b,7.0,7.0B,32768,16384
qwq:32b,32.0,32.0B,40960,16384
codegeex4:9b,9.0,9.0B,131072,32768
qwen2-math:7b,7.0,7.0B,4096,4096
yi-coder:9b,9.0,9.0B,131072,32768
qwen2.5:14b,14.0,14.0B,32768,16384
qwen2.5:7b,7.0,7.0B,32768,16384
qwen2.5-coder:32b,32.0,32.0B,32768,16384
deepseek-r1:32b,32.0,32.0B,131072,32768
deepseek-r1:8b,8.0,8.0B,131072,32768
deepseek-r1:14b,14.0,14.0B,131072,32768
deepseek-r1:7b,7.0,7.0B,131072,32768
qwen2.5-coder:14b,14.0,14.0B,32768,16384
qwen2.5-coder:7b,7.0,7.0B,32768,16384
deepcoder:14b,14.0,14.0B,131072,32768
qwen3:32b,32.0,32.0B,40960,16384
qwen3:14b,14.0,14.0B,40960,16384
qwen3:8b,8.0,8.0B,40960,16384
qwen2.5vl:7b,7.0,7.0B,128000,32768
qwen2.5:latest,7.6,7.6B,32768,16384
qwen:4b,4.0,4.0B,32768,16384
qwen:1.8b,1.8,1.8B,32768,16384
qwen:0.5b,0.5,500M,32768,16384
qwen2:1.5b,1.5,1.5B,32768,16384
qwen2:0.5b,0.5,500M,32768,16384
internlm2:1.8b,1.8,1.8B,32768,16384
deepseek-coder:1.3b,1.29,1.3B,16384,4096
internlm2:1m,0.001,1M,262144,65536
qwen2-math:1.5b,1.5,1.5B,4096,4096
yi-coder:1.5b,1.5,1.5B,131072,32768
qwen2.5:3b,3.0,3.0B,32768,16384
qwen2.5:1.5b,1.5,1.5B,32768,16384
qwen2.5:0.5b,0.5,500M,32768,16384
deepseek-r1:1.5b,1.5,1.5B,131072,32768
qwen2.5-coder:3b,3.0,3.0B,32768,16384
deepscaler:1.5b,1.5,1.5B,131072,32768
qwen2.5-coder:1.5b,1.5,1.5B,32768,16384
qwen2.5-coder:0.5b,0.5,500M,32768,16384
deepcoder:1.5b,1.5,1.5B,131072,32768
qwen3:4b,4.0,4.0B,262144,65536
qwen3:1.7b,1.7,1.7B,40960,16384
qwen3:0.6b,0.6,600M,40960,16384
qwen2.5vl:3b,3.0,3.0B,128000,32768
qwen2.5vl:32b,32.0,32.0B,128000,32768
qwen3:30b,30.0,30.0B,262144,65536
qwen3-coder:latest,29.5,29.5B,262144,65536
