Model Name,Parameter Size (Billions),Parameter Size (Formatted),Context Size,num_predict
vicuna:33b,33.0,33.0B,2048,2048
codeup:13b,13.0,13.0B,4096,4096
tulu3:8b,8.0,8.0B,131072,32768
mathstral:7b,7.0,7.0B,32768,16384
llama3-groq-tool-use:8b,8.0,8.0B,8192,4096
sailor2:20b,20.0,20.0B,32768,16384
mistral-nemo:12b,12.0,12.0B,1024000,65536
sailor2:8b,8.0,8.0B,32768,16384
llama3.1:8b,8.0,8.0B,131072,32768
exaone3.5:32b,32.0,32.0B,32768,16384
hermes3:8b,8.0,8.0B,131072,32768
exaone3.5:7.8b,7.8,7.8B,32768,16384
falcon3:10b,10.0,10.0B,32768,16384
mistral-small:24b,24.0,24.0B,32768,16384
falcon3:7b,7.0,7.0B,32768,16384
mistral-small:22b,22.0,22.0B,131072,32768
granite3.1-dense:8b,8.0,8.0B,131072,32768
bespoke-minicheck:7b,7.0,7.0B,32768,16384
dolphin3:8b,8.0,8.0B,131072,32768
phi4:14b,14.0,14.0B,16384,4096
command-r7b:7b,7.0,7.0B,8192,4096
solar-pro:22b,22.0,22.0B,4096,4096
olmo2:7b,7.0,7.0B,4096,4096
olmo2:13b,13.0,13.0B,4096,4096
openthinker:7b,7.0,7.0B,32768,16384
openthinker:32b,32.0,32.0B,32768,16384
granite3.2:8b,8.0,8.0B,131072,32768
shieldgemma:27b,27.0,27.0B,8192,4096
command-r7b-arabic:7b,7.0,7.0B,16384,4096
gemma3:27b,27.0,27.0B,131072,32768
gemma3:12b,12.0,12.0B,131072,32768
shieldgemma:9b,9.0,9.0B,8192,4096
exaone-deep:32b,32.0,32.0B,32768,16384
llama2-uncensored:7b,7.0,7.0B,2048,2048
granite3-dense:8b,8.0,8.0B,4096,4096
aya-expanse:32b,32.0,32.0B,8192,4096
exaone-deep:7.8b,7.8,7.8B,32768,16384
cogito:32b,32.0,32.0B,131072,32768
aya-expanse:8b,8.0,8.0B,8192,4096
cogito:14b,14.0,14.0B,131072,32768
cogito:8b,8.0,8.0B,131072,32768
mistral-small3.1:24b,24.0,24.0B,131072,32768
granite3.3:8b,8.0,8.0B,131072,32768
phi4-reasoning:14b,14.0,14.0B,32768,16384
magistral:24b,24.0,24.0B,40000,16384
devstral:24b,24.0,24.0B,131072,32768
gemma3n:e4b,6.9,6.9B,32768,16384
mistral:latest,7.2,7.2B,32768,16384
llama3.2-vision:latest,10.7,10.7B,131072,32768
tinyllama:chat,1.1,1.1B,2048,2048
tinydolphin:1.1b,1.1,1.1B,4096,4096
starcoder:3b,3.0,3.0B,8192,4096
starcoder:1b,1.0,1.0B,8192,4096
starcoder2:3b,3.0,3.0B,16384,4096
stablelm2:1.6b,1.6,1.6B,4096,4096
stablelm-zephyr:3b,3.0,3.0B,4096,4096
stable-code:3b,3.0,3.0B,16384,4096
smollm2:360m,0.36,360M,8192,4096
smollm2:135m,0.135,135M,8192,4096
smollm2:1.7b,1.7,1.7B,8192,4096
phi:2.7b,2.7,2.7B,2048,2048
phi3:3.8b,3.8,3.8B,131072,32768
orca-mini:3b,3.0,3.0B,2048,2048
opencoder:1.5b,1.5,1.5B,4096,4096
llava-phi3:3.8b,3.8,3.8B,4096,4096
granite-code:3b,3.0,3.0B,128000,32768
gemma:2b,2.0,2.0B,8192,4096
gemma2:2b,2.0,2.0B,8192,4096
dolphin-phi:2.7b,2.7,2.7B,2048,2048
codegemma:2b,2.0,2.0B,8192,4096
nuextract:3.8b,3.8,3.8B,4096,4096
sailor2:1b,1.0,1.0B,32768,16384
smollm:1.7b,1.7,1.7B,2048,2048
smollm:360m,0.36,360M,2048,2048
smollm:135m,0.135,135M,2048,2048
phi3.5:3.8b,3.8,3.8B,131072,32768
hermes3:3b,3.0,3.0B,131072,32768
exaone3.5:2.4b,2.4,2.4B,32768,16384
falcon3:3b,3.0,3.0B,32768,16384
falcon3:1b,1.0,1.0B,8192,4096
granite3.1-moe:3b,3.0,3.0B,131072,32768
granite3.1-moe:1b,1.0,1.0B,131072,32768
granite3.1-dense:2b,2.0,2.0B,131072,32768
smallthinker:3b,3.0,3.0B,32768,16384
nemotron-mini:4b,4.0,4.0B,4096,4096
granite3.2:2b,2.0,2.0B,131072,32768
llama3.2:3b,3.0,3.0B,131072,32768
llama3.2:1b,1.0,1.0B,131072,32768
phi4-mini:3.8b,3.8,3.8B,131072,32768
granite3.2-vision:2b,2.0,2.0B,16384,4096
llama-guard3:1b,1.0,1.0B,131072,32768
gemma3:4b,4.0,4.0B,131072,32768
gemma3:1b,1.0,1.0B,32768,16384
gemma3:270m,0.27,270M,32768,16384
shieldgemma:2b,2.0,2.0B,8192,4096
granite3-moe:3b,3.0,3.0B,4096,4096
granite3-moe:1b,1.0,1.0B,4096,4096
granite3-dense:2b,2.0,2.0B,4096,4096
exaone-deep:2.4b,2.4,2.4B,32768,16384
cogito:3b,3.0,3.0B,131072,32768
granite3.3:2b,2.0,2.0B,131072,32768
phi4-mini-reasoning:3.8b,3.8,3.8B,131072,32768
gemma3n:e2b,4.5,4.5B,32768,16384
tinyllama:1.1b,1.1,1.1B,2048,2048
mistral-small3.2:24b,24.0,24.0B,131072,32768
