command,num_of_parameters,parameter_list,parameter_type,description,source,example
SMNT,1,pathname,str,mount different file data structure without altering login or accounting info,https://datatracker.ietf.org/doc/html/rfc959,SMNT /mnt/otherfs
ALLO,1,decimal_int,int,reserves storage space on server before transferring,https://datatracker.ietf.org/doc/html/rfc959,ALLO 1048576
ALLO,2,[decimal_int, decimal_int_2],[int,int],reserves storage space on server before transferring,https://datatracker.ietf.org/doc/html/rfc959,ALLO 1048576
ABOR,0,None,None,abort a file transfer,https://ss64.com/rawftp.html#ABOR,ABOR
CWD,1,pathname,str,change working directory,https://ss64.com/rawftp.html#ABOR,CWD /pub
DELE,1,pathname,str,delete a remote file,https://ss64.com/rawftp.html#ABOR,DELE old.txt
LIST,1,pathname_optional,str,list remote files,https://ss64.com/rawftp.html#ABOR,LIST /pub
LIST,0,None,None,remote file,https://ss64.com/rawftp.html#ABOR,LIST
MDTM,1,date,str,return the modification time of a file,https://ss64.com/rawftp.html#ABOR,MDTM file.txt
MKD,1,pathname,str,make a remote directory,https://ss64.com/rawftp.html#ABOR,MKD newdir
NLST,0,None,None,name list of remote directory,https://ss64.com/rawftp.html#ABOR,NLST
NLST,1,pathname_optional,str,name list of remote directory,https://ss64.com/rawftp.html#ABOR,NLST /pub
PASS,1,password,str,send password,https://ss64.com/rawftp.html#ABOR,PASS hunter2
PASV,0,None,None,enter passive mode,https://ss64.com/rawftp.html#ABOR,PASV
PORT,1,host_port,str,open a data port,https://ss64.com/rawftp.html#ABOR,"PORT 192,0,2,10,195,80"
PWD,0,None,None,print working directory,https://ss64.com/rawftp.html#ABOR,PWD
QUIT,0,None,None,terminate the connection,https://ss64.com/rawftp.html#ABOR,QUIT
RETR,1,pathname,str,retrieve a remote file,https://ss64.com/rawftp.html#ABOR,RETR readme.txt
RMD,1,pathname,str,remove a remote directory,,RMD olddir
RNFR,1,pathname,str,rename from,https://ss64.com/rawftp.html#ABOR,RNFR oldname.txt
RNTO,1,pathname,str,rename to,https://ss64.com/rawftp.html#ABOR,RNTO newname.txt
SITE,1,string,str,site-specific commands,https://ss64.com/rawftp.html#ABOR,SITE CHMOD 755 script.sh
SIZE,1,file,str,return the size of a file,https://ss64.com/rawftp.html#ABOR,SIZE big.iso
STOR,1,pathname,str,store a file on the remote host,https://ss64.com/rawftp.html#ABOR,STOR upload.bin
TYPE,1,type_code,char,set transfer type,https://ss64.com/rawftp.html#ABOR,TYPE I
TYPE,2,[type_code, bit_size],[char, int],set transfer type,https://ss64.com/rawftp.html#ABOR, TYPE L 8 
USER,1,username,str,send username,https://ss64.com/rawftp.html#ABOR,USER demo
ACCT,1,acc_info,str,send account information,https://ss64.com/rawftp.html#ABOR,ACCT accounting-string
APPE,1,pathname,str,append to a remote file,https://ss64.com/rawftp.html#ABOR,APPE log.txt
CDUP,0,None,None,CWD to the parent of the current directory,https://ss64.com/rawftp.html#ABOR,CDUP
HELP,1,optional_string,str,return help on using the server,https://ss64.com/rawftp.html#ABOR,HELP
HELP,0,None,None,return help on using the server,https://ss64.com/rawftp.html#ABOR,HELP
MODE,1,mode_code,char,set transfer mode,https://ss64.com/rawftp.html#ABOR,MODE S
NOOP,0,None,None,do nothing,https://ss64.com/rawftp.html#ABOR,NOOP
REIN,0,None,None,reinitialize the connection,https://ss64.com/rawftp.html#ABOR,REIN
STAT,1,pathname,str,return server status,https://ss64.com/rawftp.html#ABOR,STAT
