Model Name,Parameter Size (Billions),Parameter Size (Formatted),Context Size,num_predict
qwen2.5-coder:32b,32.000,32.0B,32768,16384
vicuna:33b,33.000,33.0B,2048,2048
codeup:13b,13.000,13.0B,4096,4096
tulu3:8b,8.000,8.0B,131072,32768
glm4:9b,9.000,9.0B,131072,32768
marco-o1:7b,7.000,7.0B,32768,16384
qwq:32b,32.000,32.0B,40960,16384
codegeex4:9b,9.000,9.0B,131072,32768
mathstral:7b,7.000,7.0B,32768,16384
llama3-groq-tool-use:8b,8.000,8.0B,8192,4096
sailor2:20b,20.000,20.0B,32768,16384
mistral-nemo:12b,12.000,12.0B,1024000,65536
sailor2:8b,8.000,8.0B,32768,16384
llama3.1:8b,8.000,8.0B,131072,32768
exaone3.5:32b,32.000,32.0B,32768,16384
hermes3:8b,8.000,8.0B,131072,32768
qwen2-math:7b,7.000,7.0B,4096,4096
exaone3.5:7.8b,7.800,7.8B,32768,16384
yi-coder:9b,9.000,9.0B,131072,32768
falcon3:10b,10.000,10.0B,32768,16384
mistral-small:24b,24.000,24.0B,32768,16384
falcon3:7b,7.000,7.0B,32768,16384
mistral-small:22b,22.000,22.0B,131072,32768
granite3.1-dense:8b,8.000,8.0B,131072,32768
bespoke-minicheck:7b,7.000,7.0B,32768,16384
dolphin3:8b,8.000,8.0B,131072,32768
qwen2.5:14b,14.000,14.0B,32768,16384
phi4:14b,14.000,14.0B,16384,4096
qwen2.5:7b,7.000,7.0B,32768,16384
command-r7b:7b,7.000,7.0B,8192,4096
solar-pro:22b,22.000,22.0B,4096,4096
olmo2:7b,7.000,7.0B,4096,4096
olmo2:13b,13.000,13.0B,4096,4096
deepseek-r1:32b,32.000,32.0B,131072,32768
deepseek-r1:8b,8.000,8.0B,131072,32768
deepseek-r1:14b,14.000,14.0B,131072,32768
deepseek-r1:7b,7.000,7.0B,131072,32768
openthinker:7b,7.000,7.0B,32768,16384
openthinker:32b,32.000,32.0B,32768,16384
qwen2.5-coder:14b,14.000,14.0B,32768,16384
qwen2.5-coder:7b,7.000,7.0B,32768,16384
granite3.2:8b,8.000,8.0B,131072,32768
shieldgemma:27b,27.000,27.0B,8192,4096
command-r7b-arabic:7b,7.000,7.0B,16384,4096
gemma3:27b,27.000,27.0B,131072,32768
gemma3:12b,12.000,12.0B,131072,32768
shieldgemma:9b,9.000,9.0B,8192,4096
exaone-deep:32b,32.000,32.0B,32768,16384
llama2-uncensored:7b,7.000,7.0B,2048,2048
granite3-dense:8b,8.000,8.0B,4096,4096
aya-expanse:32b,32.000,32.0B,8192,4096
exaone-deep:7.8b,7.800,7.8B,32768,16384
cogito:32b,32.000,32.0B,131072,32768
aya-expanse:8b,8.000,8.0B,8192,4096
cogito:14b,14.000,14.0B,131072,32768
cogito:8b,8.000,8.0B,131072,32768
mistral-small3.1:24b,24.000,24.0B,131072,32768
deepcoder:14b,14.000,14.0B,131072,32768
granite3.3:8b,8.000,8.0B,131072,32768
qwen3:32b,32.000,32.0B,40960,16384
qwen3:14b,14.000,14.0B,40960,16384
qwen3:8b,8.000,8.0B,40960,16384
phi4-reasoning:14b,14.000,14.0B,32768,16384
qwen2.5vl:7b,7.000,7.0B,128000,32768
magistral:24b,24.000,24.0B,40000,16384
devstral:24b,24.000,24.0B,131072,32768
gemma3n:e4b,6.900,6.9B,32768,16384
mistral:latest,7.200,7.2B,32768,16384
qwen2.5:latest,7.600,7.6B,32768,16384
llama3.2-vision:latest,10.700,10.7B,131072,32768
tinyllama:chat,1.100,1.1B,2048,2048
tinydolphin:1.1b,1.100,1.1B,4096,4096
starcoder:3b,3.000,3.0B,8192,4096
starcoder:1b,1.000,1.0B,8192,4096
starcoder2:3b,3.000,3.0B,16384,4096
stablelm2:1.6b,1.600,1.6B,4096,4096
stablelm-zephyr:3b,3.000,3.0B,4096,4096
stable-code:3b,3.000,3.0B,16384,4096
smollm2:360m,0.360,360M,8192,4096
smollm2:135m,0.135,135M,8192,4096
smollm2:1.7b,1.700,1.7B,8192,4096
qwen:4b,4.000,4.0B,32768,16384
qwen:1.8b,1.800,1.8B,32768,16384
qwen:0.5b,0.500,500M,32768,16384
qwen2:1.5b,1.500,1.5B,32768,16384
qwen2:0.5b,0.500,500M,32768,16384
phi:2.7b,2.700,2.7B,2048,2048
phi3:3.8b,3.800,3.8B,131072,32768
orca-mini:3b,3.000,3.0B,2048,2048
opencoder:1.5b,1.500,1.5B,4096,4096
llava-phi3:3.8b,3.800,3.8B,4096,4096
internlm2:1.8b,1.800,1.8B,32768,16384
granite-code:3b,3.000,3.0B,128000,32768
gemma:2b,2.000,2.0B,8192,4096
gemma2:2b,2.000,2.0B,8192,4096
dolphin-phi:2.7b,2.700,2.7B,2048,2048
deepseek-coder:1.3b,1.300,1.3B,16384,4096
codegemma:2b,2.000,2.0B,8192,4096
internlm2:1m,0.001,1M,262144,65536
nuextract:3.8b,3.800,3.8B,4096,4096
sailor2:1b,1.000,1.0B,32768,16384
smollm:1.7b,1.700,1.7B,2048,2048
smollm:360m,0.360,360M,2048,2048
smollm:135m,0.135,135M,2048,2048
phi3.5:3.8b,3.800,3.8B,131072,32768
hermes3:3b,3.000,3.0B,131072,32768
qwen2-math:1.5b,1.500,1.5B,4096,4096
exaone3.5:2.4b,2.400,2.4B,32768,16384
yi-coder:1.5b,1.500,1.5B,131072,32768
falcon3:3b,3.000,3.0B,32768,16384
falcon3:1b,1.000,1.0B,8192,4096
granite3.1-moe:3b,3.000,3.0B,131072,32768
granite3.1-moe:1b,1.000,1.0B,131072,32768
granite3.1-dense:2b,2.000,2.0B,131072,32768
smallthinker:3b,3.000,3.0B,32768,16384
qwen2.5:3b,3.000,3.0B,32768,16384
qwen2.5:1.5b,1.500,1.5B,32768,16384
qwen2.5:0.5b,0.500,500M,32768,16384
nemotron-mini:4b,4.000,4.0B,4096,4096
deepseek-r1:1.5b,1.500,1.5B,131072,32768
qwen2.5-coder:3b,3.000,3.0B,32768,16384
deepscaler:1.5b,1.500,1.5B,131072,32768
qwen2.5-coder:1.5b,1.500,1.5B,32768,16384
qwen2.5-coder:0.5b,0.500,500M,32768,16384
granite3.2:2b,2.000,2.0B,131072,32768
llama3.2:3b,3.000,3.0B,131072,32768
llama3.2:1b,1.000,1.0B,131072,32768
phi4-mini:3.8b,3.800,3.8B,131072,32768
granite3.2-vision:2b,2.000,2.0B,16384,4096
llama-guard3:1b,1.000,1.0B,131072,32768
gemma3:4b,4.000,4.0B,131072,32768
gemma3:1b,1.000,1.0B,32768,16384
gemma3:270m,0.270,270M,32768,16384
shieldgemma:2b,2.000,2.0B,8192,4096
granite3-moe:3b,3.000,3.0B,4096,4096
granite3-moe:1b,1.000,1.0B,4096,4096
granite3-dense:2b,2.000,2.0B,4096,4096
exaone-deep:2.4b,2.400,2.4B,32768,16384
cogito:3b,3.000,3.0B,131072,32768
deepcoder:1.5b,1.500,1.5B,131072,32768
granite3.3:2b,2.000,2.0B,131072,32768
qwen3:4b,4.000,4.0B,262144,65536
qwen3:1.7b,1.700,1.7B,40960,16384
qwen3:0.6b,0.600,600M,40960,16384
phi4-mini-reasoning:3.8b,3.800,3.8B,131072,32768
qwen2.5vl:3b,3.000,3.0B,128000,32768
gemma3n:e2b,4.500,4.5B,32768,16384
tinyllama:1.1b,1.100,1.1B,2048,2048
qwen2.5vl:32b,32.000,32.0B,128000,32768
mistral-small3.2:24b,24.000,24.0B,131072,32768
qwen3:30b,30.000,30.0B,262144,65536
qwen3-coder:latest,30.500,30.5B,262144,65536
